state,seed,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime,error
MS,44,1.005,1.5,2,2,54.34616309313051,95,True,4.062911510467529,
MS,45,1.005,1.5,2,2,54.34616309313051,95,True,4.021470785140991,
MS,46,1.005,1.5,2,2,54.34616309313051,95,True,4.04727840423584,
MS,47,1.005,1.5,2,2,54.34616309313051,95,True,4.010021924972534,
MS,48,1.005,1.5,2,2,54.34616309313051,95,True,4.043383359909058,
MS,49,1.005,1.5,2,2,54.34616309313051,95,True,4.015461206436157,
MS,50,1.005,1.5,2,2,54.34616309313051,95,True,4.0046539306640625,
MS,51,1.005,1.5,2,2,54.34616309313051,95,True,3.9862074851989746,
MS,52,1.005,1.5,2,2,54.34616309313051,95,True,3.9230992794036865,
MS,53,1.005,1.5,2,2,54.34616309313051,95,True,3.7660491466522217,
MS,54,1.005,1.5,2,2,54.34616309313051,95,True,3.8456900119781494,
MS,55,1.005,1.5,2,2,54.34616309313051,95,True,3.817265033721924,
MS,42,1.005,2.0,1,2,56.45830332127466,127,False,3.830629348754883,
MS,43,1.005,2.0,1,2,56.45830332127466,127,False,3.7579421997070312,
MS,44,1.005,2.0,1,2,56.45830332127466,127,False,3.804525852203369,
MS,45,1.005,2.0,1,2,56.45830332127466,127,False,3.8364481925964355,
MS,46,1.005,2.0,1,2,56.45830332127466,127,False,3.8071296215057373,
MS,47,1.005,2.0,1,2,56.45830332127466,127,False,3.73201060295105,
MS,48,1.005,2.0,1,2,56.45830332127466,127,False,3.777510166168213,
MS,49,1.005,2.0,1,2,56.45830332127466,127,False,3.8127784729003906,
MS,50,1.005,2.0,1,2,56.45830332127466,127,False,3.867629051208496,
MS,51,1.005,2.0,1,2,56.45830332127466,127,False,3.759333610534668,
MS,52,1.005,2.0,1,2,56.45830332127466,127,False,3.880295991897583,
MS,53,1.005,2.0,1,2,56.45830332127466,127,False,3.767932891845703,
MS,54,1.005,2.0,1,2,56.45830332127466,127,False,3.8224873542785645,
MS,55,1.005,2.0,1,2,56.45830332127466,127,False,3.914341449737549,
MS,42,1.005,2.5,2,2,53.23375377432076,96,True,3.9322054386138916,
MS,43,1.005,2.5,2,2,53.23375377432076,96,True,3.92128586769104,
MS,44,1.005,2.5,2,2,53.23375377432076,96,True,3.9984278678894043,
MS,45,1.005,2.5,2,2,53.23375377432076,96,True,3.9104807376861572,
MS,46,1.005,2.5,2,2,53.23375377432076,96,True,3.9336798191070557,
MS,47,1.005,2.5,2,2,53.23375377432076,96,True,3.9839327335357666,
MS,48,1.005,2.5,2,2,53.23375377432076,96,True,3.934187889099121,
MS,49,1.005,2.5,2,2,53.23375377432076,96,True,3.952075242996216,
MS,50,1.005,2.5,2,2,53.23375377432076,96,True,3.998222827911377,
MS,51,1.005,2.5,2,2,53.23375377432076,96,True,4.947749853134155,
MS,52,1.005,2.5,2,2,53.23375377432076,96,True,4.982518196105957,
MS,53,1.005,2.5,2,2,53.23375377432076,96,True,4.725398540496826,
MS,54,1.005,2.5,2,2,53.23375377432076,96,True,4.684728384017944,
MS,55,1.005,2.5,2,2,53.23375377432076,96,True,4.67213773727417,
MS,42,1.005,3.0,2,2,53.23375377432076,96,True,4.544839859008789,
MS,43,1.005,3.0,2,2,53.23375377432076,96,True,4.38979697227478,
MS,44,1.005,3.0,2,2,53.23375377432076,96,True,5.405187129974365,
MS,45,1.005,3.0,2,2,53.23375377432076,96,True,5.07867956161499,
MS,46,1.005,3.0,2,2,53.23375377432076,96,True,4.997329235076904,
MS,47,1.005,3.0,2,2,53.23375377432076,96,True,4.360836505889893,
MS,48,1.005,3.0,2,2,53.23375377432076,96,True,4.090811491012573,
MS,49,1.005,3.0,2,2,53.23375377432076,96,True,3.928954839706421,
MS,50,1.005,3.0,2,2,53.23375377432076,96,True,4.054400444030762,
MS,51,1.005,3.0,2,2,53.23375377432076,96,True,3.9904046058654785,
MS,52,1.005,3.0,2,2,53.23375377432076,96,True,4.03062891960144,
MS,53,1.005,3.0,2,2,53.23375377432076,96,True,4.091465473175049,
MS,54,1.005,3.0,2,2,53.23375377432076,96,True,4.265622615814209,
MS,55,1.005,3.0,2,2,53.23375377432076,96,True,4.503863096237183,
MS,42,1.005,4.0,2,2,53.23375377432076,96,True,4.219475507736206,
MS,43,1.005,4.0,2,2,53.23375377432076,96,True,4.193028450012207,
MS,44,1.005,4.0,2,2,53.23375377432076,96,True,4.4536566734313965,
MS,45,1.005,4.0,2,2,53.23375377432076,96,True,4.344445705413818,
MS,46,1.005,4.0,2,2,53.23375377432076,96,True,4.208603143692017,
MS,47,1.005,4.0,2,2,53.23375377432076,96,True,4.17467474937439,
MS,48,1.005,4.0,2,2,53.23375377432076,96,True,4.779218673706055,
MS,49,1.005,4.0,2,2,53.23375377432076,96,True,4.140431642532349,
MS,50,1.005,4.0,2,2,53.23375377432076,96,True,4.263231515884399,
MS,51,1.005,4.0,2,2,53.23375377432076,96,True,4.26706862449646,
MS,52,1.005,4.0,2,2,53.23375377432076,96,True,4.576523303985596,
MS,53,1.005,4.0,2,2,53.23375377432076,96,True,4.3928656578063965,
MS,54,1.005,4.0,2,2,53.23375377432076,96,True,4.1907007694244385,
MS,55,1.005,4.0,2,2,53.23375377432076,96,True,4.51997971534729,
MS,42,1.005,5.0,2,2,53.23375377432076,96,True,4.458824157714844,
